课程名称	课程时间	课程目标	课程价格	课程配额	课程链接	教师名称	教师链接
【目标985班】高一数学春季系统班（课改版·周六18:30）	3月2日-6月22日 · 18:30-20:55	适合高一 | 全国地区通用	799	1009人报名  每60人分小班	https://www.yuanfudao.com/lessons/3080522.html	王伟	https://www.yuanfudao.com/teachers/40917253/lesson?lessonId=3080522
【英语校内卓越班】六年级英语寒假系统1班	1月26日-2月2日	适合六年级 | 全国地区通用	700	32人报名	https://www.yuanfudao.com/lessons/3080658.html	胡凌 甘可Reb…	https://www.yuanfudao.com/teachers/132636426/lesson?lessonId=3080658
五、六年级猿编程L1系统班 第12期（周六晚）	4月27日-7月27日	适合五年级 六年级 | 全国地区通用	1999	已报满或无信息	https://www.yuanfudao.com/lessons/3092094.html	待分配	https://www.yuanfudao.com/teachers/31739879/lesson?lessonId=3092094
高三地理春季系统班（周六19:00）	3月2日-6月1日 · 19:00-21:00	适合高三 | 全国地区通用	499	1人报名  限报2000人	https://www.yuanfudao.com/lessons/3096698.html	崔建军	https://www.yuanfudao.com/teachers/173351894/lesson?lessonId=3096698
【目标卓越班】初一数学寒假系统班（寒1期09:00）	1月19日-1月26日 · 早09:00-11:20	适合七年级 | 全国地区通用	99	1174人报名	https://www.yuanfudao.com/lessons/3080376.html	朱玲玲	https://www.yuanfudao.com/teachers/60153716/lesson?lessonId=3080376
高一数学春季系统班（非课改版·必修3+必修4·周五21:00）	3月1日-6月21日 · 21:00-23:25	适合高一 | 全国地区通用	799	546人报名  每60人分小班	https://www.yuanfudao.com/lessons/3080898.html	严攀	https://www.yuanfudao.com/teachers/114992036/lesson?lessonId=3080898
【目标一本班】高三物理寒假系统班（寒1期21:30）	1月18日-1月25日 · 21:30-23:30	适合高三 | 全国地区通用	249	1983人报名	https://www.yuanfudao.com/lessons/3079056.html	郑少龙	https://www.yuanfudao.com/teachers/35702341/lesson?lessonId=3079056
【目标优等班】初一数学春季系统班（周日09:00）	3月3日-6月23日 · 早09:00-11:30	适合七年级 | 全国地区通用	999	257人报名  每30人分小班	https://www.yuanfudao.com/lessons/3081332.html	袁野	https://www.yuanfudao.com/teachers/134794932/lesson?lessonId=3081332
【英语能力强化班】一年级英语寒假系统28班	1月26日-2月2日	适合一年级 | 全国地区通用	700	31人报名	https://www.yuanfudao.com/lessons/3093778.html	邢宇琪 陈健	https://www.yuanfudao.com/teachers/121825876/lesson?lessonId=3093778
【英语能力发展班】三年级英语寒假系统2班	1月26日-2月2日	适合三年级 | 全国地区通用	700	31人报名	https://www.yuanfudao.com/lessons/3081074.html	张丽丽 张姣姣	https://www.yuanfudao.com/teachers/129076440/lesson?lessonId=3081074
【目标优等班】初三数学寒假系统班（寒1期13:00）	1月19日-1月26日 · 13:00-15:20	适合九年级 | 全国地区通用	499	629人报名	https://www.yuanfudao.com/lessons/3080780.html	王亮亮	https://www.yuanfudao.com/teachers/39413413/lesson?lessonId=3080780
【查缺补漏】巩固高三必备语法	高三 · 1月27日-2月2日 · 90分钟/次 · 7次课	适合高三 | 全国地区通用	56	421人报名	https://www.yuanfudao.com/lessons/3100614.html	张简	https://www.yuanfudao.com/teachers/48532425/lesson?lessonId=3100614
【实验班】初一数学春季系统班（周日09:00）	3月3日-6月23日 · 早09:00-11:30	适合七年级 | 全国地区通用	999	505人报名  每30人分小班	https://www.yuanfudao.com/lessons/3081324.html	荣伟伟	https://www.yuanfudao.com/teachers/31830739/lesson?lessonId=3081324
【目标985班】高二生物春季系统班（周日09:00）	3月3日-6月16日 · 早09:00-11:00	适合高二 | 全国地区通用	499	380人报名  限报2000人	https://www.yuanfudao.com/lessons/3079728.html	李秀楠	https://www.yuanfudao.com/teachers/49091395/lesson?lessonId=3079728
高二理科数学春季系统班（周日09:00）	3月3日-6月16日 · 早09:00-11:00	适合高二 | 全国地区通用	499	391人报名  限报2000人	https://www.yuanfudao.com/lessons/3080398.html	张煜晨	https://www.yuanfudao.com/teachers/94097552/lesson?lessonId=3080398
高一政治寒假系统班（课改版·寒1期16:00）	1月19日-1月26日 · 16:00-18:25	适合高一 | 全国地区通用	399	207人报名	https://www.yuanfudao.com/lessons/3079866.html	梁如冰	https://www.yuanfudao.com/teachers/132614682/lesson?lessonId=3079866
【目标卓越班】初三英语春季系统班（周五18:00）	3月1日-6月7日 · 18:00-20:30	适合九年级 | 全国地区通用	999	455人报名  每30人分小班	https://www.yuanfudao.com/lessons/3079470.html	周园	https://www.yuanfudao.com/teachers/51702800/lesson?lessonId=3079470
【英语能力强化班】一年级英语春季系统7班	3月6日-6月16日	适合一年级 | 全国地区通用	1650	31人报名	https://www.yuanfudao.com/lessons/3080114.html	张峥妍 李晓慧	https://www.yuanfudao.com/teachers/119675466/lesson?lessonId=3080114
【英语能力起航班】五年级英语春季系统9班	3月6日-6月15日	适合五年级 | 全国地区通用	1650	29人报名  限报30人	https://www.yuanfudao.com/lessons/3087300.html	文晓双 冯珊	https://www.yuanfudao.com/teachers/107775120/lesson?lessonId=3087300
【目标985班】高一数学寒假系统班（课改版·寒1期13:00）	1月19日-1月26日 · 13:00-15:25	适合高一 | 全国地区通用	399	478人报名	https://www.yuanfudao.com/lessons/3079952.html	王伟	https://www.yuanfudao.com/teachers/40917253/lesson?lessonId=3079952
【英语能力起航班】六年级英语春季系统12班	3月5日-6月16日	适合六年级 | 全国地区通用	1650	15人报名  限报30人	https://www.yuanfudao.com/lessons/3084012.html	肖凡 董宝红	https://www.yuanfudao.com/teachers/143276952/lesson?lessonId=3084012
高一数学寒假系统班（非课改版·必修5+必修2·寒2期16:00）	1月30日-2月13日 · 16:00-18:25	适合高一 | 全国地区通用	399	1383人报名  每60人分小班	https://www.yuanfudao.com/lessons/3080354.html	韩乾	https://www.yuanfudao.com/teachers/85608340/lesson?lessonId=3080354
【目标省一班】高一化学寒假竞赛班（寒1期13:00）	1月19日-1月25日 · 13:00-15:00	适合高一 | 全国地区通用	399	305人报名	https://www.yuanfudao.com/lessons/3079486.html	刘宇	https://www.yuanfudao.com/teachers/2384441/lesson?lessonId=3079486
